"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
132.37,"","","",142.8895,227.7029,137.9780,101.7866,2645.5300,134.8755,1329.1146,124.6583
132.40,"","","",142.6598,227.5221,137.8660,100.8338,2643.6360,126.2664,1331.4692,152.3601
132.43,"","","",142.4373,227.3412,137.7303,100.1986,2643.7938,114.7876,1331.1230,180.0619
132.47,"","","",142.1950,227.3412,137.5937,99.7223,2641.5411,97.5695,1331.6770,200.8383
132.50,"","","",141.9544,227.3412,137.4841,99.2459,2642.4307,83.2210,1331.8848,221.6147
132.53,"","","",141.7211,227.3412,137.3071,99.2459,2644.9560,83.2210,1332.0579,249.3165
132.57,"","","",141.4932,227.3412,137.1713,99.4047,2645.8169,83.2210,1333.2699,270.0929
132.60,"","","",141.2825,227.3412,137.0951,99.8811,2645.7308,83.2210,1333.9970,297.7947
132.63,"","","",141.0438,227.3412,136.9839,100.1986,2642.7033,66.0029,1333.8931,318.5711
132.67,"","","",140.8032,227.1604,136.8656,100.5162,2645.2143,63.1332,1335.0012,346.2729
132.70,"","","",140.5826,226.9795,136.7481,100.8338,2644.5112,66.0029,1335.0705,367.0493
132.73,"","","",140.3583,226.9795,136.6600,101.3102,2644.9704,63.1332,1335.4860,394.7512
132.77,"","","",140.1521,226.9795,136.5687,101.7866,2643.3490,66.0029,1335.4860,415.5275
132.80,"","","",139.9225,226.9795,136.4575,102.4217,2644.8843,60.2635,1335.6938,436.3039
132.83,"","","",139.6873,226.9795,136.3178,103.2157,2644.5973,54.5241,1335.7976,450.1548
132.87,"","","",139.4848,226.7986,136.1471,104.3273,2644.8556,48.7847,1337.3559,470.9312
132.90,"","","",139.2777,226.4369,136.0161,105.5976,2646.5200,63.1332,1337.8753,498.6330
132.93,"","","",139.0552,226.2561,135.8724,107.0268,2644.5973,63.1332,1338.5678,519.4094
132.97,"","","",138.8228,226.0752,135.7763,108.2971,2644.1238,63.1332,1339.2257,540.1858
133.00,"","","",138.5714,226.0752,135.6985,109.7262,2646.7496,71.7423,1340.6801,567.8876
133.03,"","","",138.3435,226.0752,135.5858,111.1554,2645.2143,74.6120,1340.1261,588.6640
133.07,"","","",138.1437,225.8943,135.4762,113.0609,2646.0035,71.7423,1339.9183,602.5149
133.10,"","","",137.9303,225.7135,135.3428,114.9664,2645.7308,74.6120,1340.3685,616.3658
133.13,"","","",137.7105,225.5326,135.2007,117.1895,2646.0035,71.7423,1341.2688,616.3658
133.17,"","","",137.5025,225.3518,135.0792,119.2538,2644.6547,68.8726,1340.5070,595.5895
133.20,"","","",137.2882,225.1709,134.9942,120.2066,2646.8500,74.6120,1340.2299,581.7385
133.23,"","","",137.0486,225.1709,134.8736,120.6830,2646.0035,83.2210,1340.1261,560.9622
133.27,"Pi-5mM","Left","",136.8126,225.1709,134.7338,120.6830,2558.8796,-241.0541,1340.5416,540.1858
133.30,"","","",136.7086,224.6283,134.5925,120.8418,2440.2897,-978.5647,1341.0610,526.3349
133.33,"","","",136.7900,223.0006,134.4512,120.8418,2436.9465,-1693.1177,1341.6497,512.4840
133.37,"","","",136.7502,220.8302,134.3178,121.0006,2440.5623,-2353.1467,1342.6192,491.7076
133.40,"","","",136.6100,218.2982,134.2694,120.8418,2441.9397,-2961.5212,1342.7924,470.9312
133.43,"","","",136.4174,215.7662,134.1526,120.5242,2438.8835,-3549.8079,1342.1691,450.1548
133.47,"","","",136.1976,213.4150,134.0018,120.3654,2443.4176,-4077.8310,1341.9959,429.3784
133.50,"","","",135.9408,211.2447,133.8668,120.0478,2443.5611,-4568.5482,1341.8921,408.6021
133.53,"","","",135.6958,209.2552,133.7755,119.8890,2440.2179,-5042.0473,1343.7273,394.7512
133.57,"","","",135.4995,207.6275,133.6612,119.5714,2442.0545,-5466.7615,1344.4545,387.8257
133.60,"","","",135.2942,205.9997,133.5492,119.4126,2443.6472,-5842.6911,1345.2163,380.9002
133.63,"","","",135.0546,204.5528,133.4309,119.4126,2439.5579,-6198.5328,1346.0820,380.9002
133.67,"","","",134.8077,203.1060,133.2832,119.4126,2442.6715,-6505.5897,1346.2897,380.9002
133.70,"","","",134.5880,201.8399,133.1499,119.4126,2443.7620,-6763.8619,1345.9781,373.9748
133.73,"","","",134.3908,200.5739,133.0689,119.2538,2443.8768,-6990.5675,1347.2939,373.9748
133.77,"","","",134.1729,199.4887,132.9593,119.0951,2443.3889,-7182.8368,1345.9434,367.0493
133.80,"","","",133.9432,198.5844,132.8609,118.9363,2442.8437,-7346.4092,1345.9781,360.1239
133.83,"","","",133.7262,197.8610,132.7124,118.9363,2444.1637,-7466.9362,1346.3936,353.1984
133.87,"","","",133.4856,197.4993,132.5957,118.9363,2442.4132,-7544.4179,1347.7094,346.2729
133.90,"","","",133.2478,197.1376,132.4575,119.2538,2444.5224,-7573.1148,1347.7441,346.2729
133.93,"","","",133.0353,196.9567,132.3487,119.4126,2444.8094,-7564.5057,1346.9476,339.3475
133.97,"","","",132.8219,196.7758,132.2130,119.4126,2446.9330,-7521.4604,1346.3243,325.4966
134.00,"","","",132.5940,196.9567,132.0963,119.5714,2445.0820,-7438.2393,1347.7094,325.4966
134.03,"","","",132.3878,197.1376,132.0399,119.4126,2443.1737,-7326.3214,1348.4712,318.5711
134.07,"","","",132.1599,197.4993,131.9383,119.0951,2445.1251,-7168.4884,1348.2635,311.6456
134.10,"","","",131.9167,197.8610,131.7938,118.7775,2443.5037,-6984.8281,1348.7136,304.7202
134.13,"","","",131.6743,198.5844,131.6405,118.6187,2446.8756,-6746.6438,1349.4408,304.7202
134.17,"","","",131.4519,199.4887,131.5516,118.3011,2443.8911,-6485.5019,1349.3369,297.7947
134.20,"","","",131.2493,200.3930,131.4349,118.1423,2445.2973,-6175.5752,1349.2677,290.8693
134.23,"","","",131.0549,201.1165,131.2880,118.3011,2447.1482,-5819.7335,1350.0641,290.8693
134.27,"","","",130.8288,202.2017,131.1649,118.4599,2444.9959,-5438.0646,1349.1638,283.9438
134.30,"","","",130.5973,203.2868,131.0355,118.6187,2445.9286,-5019.0897,1348.6444,277.0184
134.33,"","","",130.3522,204.7337,130.9275,118.6187,2447.2630,-4548.4604,1349.2330,277.0184
134.37,"","","",130.1126,206.3614,130.8561,118.3011,2445.9860,-4049.1341,1349.4754,277.0184
134.40,"","","",129.8856,208.1700,130.7132,118.1423,2445.4551,-3512.5019,1350.3757,277.0184
134.43,"","","",129.6586,209.9786,130.5647,118.1423,2445.9429,-2938.5637,1350.2372,270.0929
134.47,"","","",129.4380,211.9681,130.4805,118.1423,2445.6129,-2324.4498,1349.7871,270.0929
134.50,"","","",129.2282,213.9576,130.3948,117.9835,2445.8569,-1678.7693,1349.9256,263.1674
134.53,"","","",128.9904,215.9470,130.2908,117.5071,2445.4694,-990.0434,1350.2372,256.2420
134.57,"","","",128.7788,218.2982,130.1312,117.3483,2445.4264,-266.8813,1351.8647,249.3165
134.60,"","","",128.5744,220.6494,129.9954,117.3483,2445.6703,163.5724,1351.4492,242.3911
134.63,"","","",128.3637,222.6388,129.8803,117.3483,2447.5356,160.7027,1352.5226,242.3911
134.67,"","","",128.1367,223.5431,129.7517,117.6659,2445.7134,140.6149,1353.4922,242.3911
134.70,"","","",127.9088,223.7240,129.5889,117.9835,2445.7134,132.0058,1352.4187,242.3911
134.73,"","","",127.6800,223.7240,129.4952,117.9835,2446.5169,129.1361,1353.5614,242.3911
134.77,"","","",127.4521,223.7240,129.3976,117.9835,2446.0577,114.7876,1350.7566,228.5401
134.80,"","","",127.2179,223.5431,129.2658,118.1423,2446.0003,114.7876,1352.5919,214.6892
134.83,"","","",127.0018,223.5431,129.1427,118.3011,2449.0135,126.2664,1352.4880,207.7638
134.87,"","","",126.7694,223.7240,129.0538,118.3011,2447.4208,117.6573,1353.1805,200.8383
134.90,"","","",126.5451,223.7240,128.9760,118.1423,2447.3634,114.7876,1351.6569,193.9128
134.93,"","","",126.3245,223.7240,128.8172,118.1423,2446.4164,111.9180,1353.6653,193.9128
134.97,"","","",126.0957,223.7240,128.6687,118.1423,2447.2056,97.5695,1353.5268,193.9128
135.00,"","","",125.8660,223.9049,128.5806,118.3011,2446.9043,91.8301,1353.1805,193.9128
135.03,"","","",125.6589,223.9049,128.4686,118.4599,2446.4882,88.9604,1353.3191,193.9128
135.07,"","","",125.4356,223.9049,128.3591,118.3011,2446.7321,86.0907,1353.9770,193.9128
135.10,"","","",125.2212,223.7240,128.2606,118.1423,2449.8314,91.8301,1355.1197,193.9128
135.13,"","","",125.0151,223.7240,128.1344,117.9835,2445.9142,80.3514,1355.7430,200.8383
135.17,"","","",124.7872,223.5431,128.0105,117.9835,2449.1570,86.0907,1354.4271,193.9128
135.20,"","","",124.5593,223.3623,127.8811,117.9835,2447.2200,77.4817,1353.9077,193.9128
135.23,"","","",124.3187,223.5431,127.7723,117.9835,2450.3623,86.0907,1353.7346,193.9128
135.27,"","","",124.0927,223.5431,127.6516,117.9835,2448.8126,88.9604,1353.6653,186.9874
135.30,"","","",123.8982,223.3623,127.5087,118.1423,2447.5069,94.6998,1354.8080,180.0619
135.33,"","","",123.6966,223.1814,127.4079,118.3011,2448.7696,97.5695,1357.2666,186.9874
135.37,"","","",123.4542,223.0006,127.2951,118.1423,2448.7696,91.8301,1357.1281,193.9128
135.40,"","","",123.2381,222.8197,127.1729,117.8247,2447.1626,88.9604,1357.3705,193.9128
135.43,"","","",123.0166,222.8197,127.0855,117.6659,2451.1227,91.8301,1357.1973,200.8383
135.47,"","","",122.7760,222.8197,126.9934,117.5071,2449.4727,100.4392,1356.6779,200.8383
135.50,"","","",122.5409,222.8197,126.8720,117.1895,2452.2276,109.0483,1357.1973,207.7638
135.53,"","","",122.3211,222.8197,126.6965,117.1895,2448.7552,106.1786,1358.3400,214.6892
135.57,"","","",122.0924,222.8197,126.5710,117.3483,2449.5875,114.7876,1358.3400,221.6147
135.60,"","","",121.8817,222.6388,126.4909,117.3483,2447.8656,109.0483,1358.4093,221.6147
135.63,"","","",121.6881,222.4580,126.3781,117.3483,2447.7365,103.3089,1357.7860,221.6147
135.67,"","","",121.4747,222.2771,126.2582,117.3483,2448.6405,109.0483,1357.8552,221.6147
135.70,"","","",121.2387,222.0963,126.1383,117.0307,2448.7552,106.1786,1357.4397,214.6892
135.73,"","","",121.0217,222.0963,126.0407,117.0307,2449.7596,106.1786,1357.7167,214.6892
135.77,"","","",120.7920,222.0963,125.9240,116.8719,2449.7309,106.1786,1358.0630,207.7638
135.80,"","","",120.5415,222.2771,125.7930,116.8719,2448.4396,100.4392,1357.9937,207.7638
135.83,"","","",120.3064,222.2771,125.6659,116.7132,2447.4782,91.8301,1358.5478,200.8383
135.87,"","","",120.0902,222.4580,125.5619,116.3956,2448.3391,86.0907,1358.9633,193.9128
135.90,"","","",119.8777,222.4580,125.4325,116.2368,2451.5532,88.9604,1358.9287,193.9128
135.93,"","","",119.6634,222.4580,125.3150,116.2368,2446.5312,74.6120,1358.8594,193.9128
135.97,"","","",119.4455,222.2771,125.2237,116.0780,2449.2574,74.6120,1359.9675,200.8383
136.00,"","","",119.2339,222.2771,125.1221,115.9192,2451.0079,77.4817,1359.4481,207.7638
136.03,"","","",119.0069,222.0963,124.9982,116.0780,2447.8943,66.0029,1360.5215,207.7638
136.07,"","","",118.7763,222.0963,124.9061,115.9192,2452.3711,74.6120,1359.9329,214.6892
136.10,"","","",118.5674,221.9154,124.8283,115.7604,2448.1957,63.1332,1360.3830,207.7638
136.13,"","","",118.3567,221.9154,124.7028,115.6016,2448.9418,54.5241,1360.4177,207.7638
136.17,"","","",118.1297,221.9154,124.5591,115.4428,2449.0279,57.3938,1359.3442,200.8383
136.20,"","","",117.8810,221.9154,124.4321,115.4428,2449.4296,54.5241,1359.8636,193.9128
136.23,"","","",117.6504,222.0963,124.3281,115.1252,2450.6636,57.3938,1361.2487,193.9128
136.27,"","","",117.4397,222.0963,124.2439,114.9664,2450.2618,54.5241,1360.7986,193.9128
136.30,"","","",117.2290,222.0963,124.1185,114.8076,2448.6548,48.7847,1360.1060,186.9874
136.33,"","","",117.0138,222.0963,123.9645,114.8076,2448.6405,40.1757,1360.1406,180.0619
136.37,"","","",116.7904,222.0963,123.8803,114.6488,2449.8457,34.4363,1360.3484,173.1365
136.40,"","","",116.5725,222.0963,123.7683,114.4900,2448.7983,22.9575,1359.8636,159.2856
136.43,"","","",116.3491,222.0963,123.6334,114.3313,2448.7409,25.8272,1360.6254,159.2856
136.47,"","","",116.1176,222.0963,123.5016,114.3313,2450.5775,20.0878,1361.4565,159.2856
136.50,"","","",115.8961,222.0963,123.3928,114.3313,2446.7321,11.4788,1361.0063,159.2856
136.53,"","","",115.7062,221.9154,123.2816,114.3313,2448.8844,2.8697,1361.0409,145.4346
136.57,"","","",115.4991,221.7345,123.1983,114.1725,2448.7552,5.7394,1361.3872,138.5092
136.60,"","","",115.2721,221.7345,123.0832,114.0137,2448.4396,2.8697,1362.0798,131.5837
136.63,"","","",115.0470,221.5537,122.9879,114.0137,2451.8689,5.7394,1363.3263,131.5837
136.67,"","","",114.8145,221.3728,122.8950,113.6961,2448.6118,2.8697,1362.6338,131.5837
136.70,"","","",114.5812,221.3728,122.7576,113.6961,2450.9506,8.6091,1362.5992,131.5837
136.73,"","","",114.3660,221.1920,122.6544,113.5373,2449.2718,0.0000,1362.2183,138.5092
136.77,"","","",114.1390,221.1920,122.5504,113.2197,2450.1327,8.6091,1362.5645,138.5092
136.80,"","","",113.9202,221.1920,122.4218,113.0609,2452.6293,22.9575,1363.1878,138.5092
136.83,"","","",113.7023,221.1920,122.3146,112.7433,2451.0079,40.1757,1362.9454,138.5092
136.87,"","","",113.4644,221.1920,122.1820,112.7433,2451.7971,45.9151,1362.5299,138.5092
136.90,"","","",113.2447,221.3728,122.0621,112.9021,2451.2232,54.5241,1363.0493,138.5092
136.93,"","","",113.0132,221.3728,121.9605,112.9021,2453.2176,63.1332,1362.5645,138.5092
136.97,"","","",112.8160,221.1920,121.8525,112.7433,2450.5058,57.3938,1362.4607,138.5092
137.00,"","","",112.5900,221.1920,121.7533,112.5845,2450.8214,57.3938,1363.9496,138.5092
137.03,"","","",112.3738,221.0111,121.6405,112.5845,2453.3037,68.8726,1363.8458,138.5092
137.07,"","","",112.1595,220.8302,121.5413,112.4257,2453.4328,80.3514,1362.5992,131.5837
137.10,"","","",111.9334,220.8302,121.4309,112.2669,2452.8876,91.8301,1364.3998,131.5837
137.13,"","","",111.7001,220.8302,121.3110,112.1081,2452.8732,97.5695,1363.6034,131.5837
137.17,"","","",111.4949,221.0111,121.1991,112.1081,2452.5719,94.6998,1363.3610,124.6583
137.20,"","","",111.2851,221.0111,121.0665,112.1081,2453.7915,100.4392,1364.1228,124.6583
137.23,"","","",111.0644,220.8302,120.9379,112.2669,2453.6337,117.6573,1363.7072,124.6583
137.27,"","","",110.8239,221.0111,120.8108,112.5845,2452.2850,109.0483,1364.4344,124.6583
137.30,"","","",110.6159,220.8302,120.7203,112.5845,2453.1459,114.7876,1362.3568,117.7328
137.33,"","","",110.3998,220.8302,120.6282,112.5845,2453.3467,126.2664,1363.0147,110.8073
137.37,"","","",110.2062,220.6494,120.4932,112.5845,2454.5807,129.1361,1363.4302,110.8073
137.40,"","","",110.0127,220.4685,120.3932,112.5845,2456.0730,154.9633,1363.5687,110.8073
137.43,"","","",109.7586,220.2877,120.2995,112.4257,2455.3412,157.8330,1363.6726,103.8819
137.47,"","","",109.5117,220.2877,120.1447,112.2669,2453.1315,157.8330,1364.1574,103.8819
137.50,"","","",109.2857,220.2877,120.0391,112.2669,2456.8478,169.3118,1363.2225,96.9564
137.53,"","","",109.0605,220.2877,119.9430,112.4257,2454.5951,175.0512,1362.7031,90.0310
137.57,"","","",108.8425,220.4685,119.8493,112.2669,2455.7142,186.5299,1364.2613,90.0310
137.60,"","","",108.6282,220.4685,119.7501,112.1081,2455.7573,195.1390,1363.2225,83.1055
137.63,"","","",108.4166,220.4685,119.6048,111.9494,2455.7142,198.0087,1363.7072,83.1055
137.67,"","","",108.2159,220.4685,119.4523,112.2669,2456.9052,200.8784,1364.4690,76.1800
137.70,"","","",108.0043,220.2877,119.3618,112.2669,2455.5277,203.7481,1365.0923,76.1800
137.73,"","","",107.7872,220.1068,119.2443,112.4257,2454.8677,200.8784,1364.3998,69.2546
137.77,"","","",107.5521,220.1068,119.1395,112.4257,2458.0674,206.6178,1363.2225,62.3291
137.80,"","","",107.3134,220.1068,119.0577,112.5845,2457.5795,215.2268,1364.7461,62.3291
137.83,"","","",107.0954,220.2877,118.9553,112.5845,2456.7330,206.6178,1364.2267,55.4037
137.87,"","","",106.8802,220.1068,118.8426,112.5845,2457.4074,203.7481,1364.5383,48.4782
137.90,"","","",106.6686,219.9259,118.7338,112.5845,2457.9813,203.7481,1365.2655,48.4782
137.93,"","","",106.4461,219.7451,118.6306,112.5845,2455.6999,192.2693,1365.2655,48.4782
137.97,"","","",106.2183,219.7451,118.5361,112.2669,2460.4492,209.4874,1364.7114,55.4037
138.00,"","","",105.9795,219.7451,118.4122,112.1081,2458.7274,203.7481,1363.6380,48.4782
138.03,"","","",105.7706,219.7451,118.3066,111.9494,2457.7230,203.7481,1364.1228,48.4782
138.07,"","","",105.5536,219.7451,118.1899,111.7906,2458.5839,200.8784,1363.0840,41.5528
138.10,"Pi-7mM","Left","",105.3284,219.7451,118.0788,111.6318,2372.9954,-117.6573,1363.7072,34.6273
138.13,"","","",105.2579,219.3834,117.9867,111.3142,2239.4974,-898.2133,1363.8804,34.6273
138.17,"","","",105.3917,217.5748,117.8612,111.1554,2236.4842,-1655.8118,1364.9538,34.6273
138.20,"","","",105.3718,215.2236,117.7588,110.9966,2238.4212,-2361.7558,1365.6464,41.5528
138.23,"","","",105.2362,212.5107,117.6612,110.9966,2238.6365,-3030.3938,1366.6159,48.4782
138.27,"","","",105.0662,209.9786,117.5373,110.8378,2241.0470,-3644.5077,1367.4470,55.4037
138.30,"","","",104.8718,207.4466,117.4301,110.6790,2240.3439,-4229.9247,1367.4124,55.4037
138.33,"","","",104.6104,205.2763,117.3420,110.5202,2247.0590,-4749.3388,1367.4816,69.2546
138.37,"","","",104.2415,203.8294,117.2562,110.0438,2242.1518,-5240.0559,1366.2004,76.1800
138.40,"","","",103.9123,202.7442,117.1371,109.7262,2241.0040,-5696.3368,1366.8583,76.1800
138.43,"","","",103.6491,202.0208,116.9863,109.5675,2239.1387,-6118.1814,1366.3043,83.1055
138.47,"","","",103.4095,201.4782,116.8600,109.4087,2239.3252,-6502.7200,1366.3735,90.0310
138.50,"","","",103.1798,200.9356,116.7751,109.2499,2238.6508,-6849.9526,1366.2004,90.0310
138.53,"","","",102.9546,200.5739,116.6758,109.0911,2236.6707,-7157.0096,1366.5813,96.9564
138.57,"","","",102.7168,200.3930,116.5472,109.0911,2237.9190,-7421.0212,1367.8971,103.8819
138.60,"","","",102.5106,200.2122,116.4178,109.2499,2239.7843,-7644.8571,1365.9580,103.8819
138.63,"","","",102.3280,200.0313,116.3400,109.0911,2237.9047,-7831.3870,1365.7503,96.9564
138.67,"","","",102.1507,199.8505,116.2677,108.9323,2240.0857,-7966.2625,1365.6117,96.9564
138.70,"","","",101.9274,199.4887,116.1447,108.7735,2239.0095,-8063.8320,1366.2004,90.0310
138.73,"","","",101.6877,199.3079,116.0176,108.6147,2238.4499,-8115.4864,1367.3777,96.9564
138.77,"","","",101.4671,199.3079,115.9057,108.6147,2238.6939,-8126.9652,1367.0315,96.9564
138.80,"","","",101.2871,199.4887,115.7937,108.6147,2237.2447,-8112.6167,1368.6936,103.8819
138.83,"","","",101.0927,199.4887,115.6937,108.6147,2241.8649,-8029.3957,1368.1742,103.8819
138.87,"","","",100.9001,199.6696,115.5921,108.4559,2238.9378,-7920.3474,1366.9622,103.8819
138.90,"","","",100.6731,200.0313,115.4857,108.2971,2238.2204,-7773.9932,1368.0703,103.8819
138.93,"","","",100.4524,200.3930,115.3682,108.2971,2239.5404,-7578.8542,1367.1700,103.8819
138.97,"","","",100.2200,200.9356,115.2658,108.1383,2241.6496,-7334.9304,1367.5162,96.9564
139.00,"","","",100.0039,201.4782,115.1649,108.2971,2241.1474,-7050.8310,1366.6506,96.9564
139.03,"","","",99.8050,202.0208,115.0236,108.4559,2240.2004,-6732.2953,1366.9276,96.9564
139.07,"","","",99.6024,202.5634,114.9331,108.6147,2240.5305,-6376.4536,1365.8888,90.0310
139.10,"","","",99.3989,203.2868,114.8235,108.7735,2239.0239,-5971.8272,1367.4816,83.1055
139.13,"","","",99.1918,204.0103,114.6838,108.9323,2237.5460,-5535.6341,1367.4124,83.1055
139.17,"","","",98.9649,205.0954,114.6028,108.9323,2239.4687,-5053.5260,1367.8971,83.1055
139.20,"","","",98.7307,206.1806,114.5091,108.9323,2242.0083,-4519.7635,1367.0315,83.1055
139.23,"","","",98.5163,207.4466,114.4051,108.7735,2240.0283,-3948.6949,1368.5204,83.1055
139.27,"","","",98.3029,208.7126,114.3225,108.6147,2240.6165,-3343.1901,1369.5246,90.0310
139.30,"","","",98.1139,210.1595,114.2304,108.4559,2239.1530,-2686.0309,1368.1049,90.0310
139.33,"","","",97.8969,211.6064,114.0978,108.2971,2237.1155,-2000.1747,1368.0357,83.1055
139.37,"","","",97.6835,213.2341,113.9771,108.2971,2238.3782,-1274.1428,1367.2739,76.1800
139.40,"","","",97.4782,214.8619,113.8874,108.1383,2239.4830,-496.4566,1368.3127,69.2546
139.43,"","","",97.2720,216.6705,113.8096,107.9795,2239.9852,-8.6091,1368.8667,62.3291
139.47,"","","",97.0622,218.1173,113.6754,107.8207,2239.1530,-8.6091,1368.5204,55.4037
139.50,"","","",96.8542,218.1173,113.5508,107.8207,2239.4830,-22.9575,1368.3819,48.4782
139.53,"","","",96.6318,217.3939,113.4277,107.8207,2240.8748,-22.9575,1368.6936,48.4782
139.57,"","","",96.4274,216.3087,113.3428,107.6619,2238.9234,-28.6969,1366.5813,41.5528
139.60,"","","",96.2004,215.0427,113.2586,107.5031,2239.4400,-22.9575,1366.7198,41.5528
139.63,"","","",96.0069,213.5958,113.1260,107.5031,2238.2777,-25.8272,1368.5897,48.4782
139.67,"","","",95.8116,212.3298,112.9847,107.5031,2241.0040,8.6091,1368.6243,55.4037
139.70,"","","",95.5882,211.6064,112.9156,107.1856,2241.8505,25.8272,1369.3515,55.4037
139.73,"","","",95.3567,211.2447,112.8283,107.0268,2239.0382,31.5666,1369.9055,62.3291
139.77,"","","",95.1587,211.0638,112.7298,106.8680,2241.0757,37.3060,1370.0094,69.2546
139.80,"","","",94.9489,211.0638,112.6274,106.7092,2238.1486,31.5666,1368.5551,62.3291
139.83,"","","",94.7355,211.0638,112.5020,106.7092,2242.2379,37.3060,1369.9748,69.2546
139.87,"","","",94.5248,211.0638,112.3995,106.5504,2240.8461,31.5666,1369.2476,69.2546
139.90,"","","",94.2996,211.2447,112.2868,106.5504,2240.6452,28.6969,1370.1479,76.1800
139.93,"","","",94.0753,211.4255,112.2098,106.5504,2240.1717,31.5666,1370.0787,76.1800
139.97,"","","",93.8429,211.7872,112.1343,106.2328,2241.7644,31.5666,1370.2864,76.1800
140.00,"","","",93.6331,211.7872,112.0526,105.7564,2240.2865,34.4363,1369.7670,76.1800
140.03,"","","",93.4468,211.7872,111.9232,105.4388,2241.9940,40.1757,1369.9748,76.1800
140.07,"","","",93.2578,211.7872,111.7620,105.4388,2240.5878,37.3060,1369.1091,69.2546
140.10,"","","",93.0634,211.9681,111.6603,105.4388,2239.7987,31.5666,1368.5204,69.2546
140.13,"","","",92.8780,211.6064,111.5484,105.4388,2239.6839,20.0878,1369.0398,69.2546
140.17,"","","",92.6483,211.6064,111.4754,105.2800,2240.0570,28.6969,1368.9360,69.2546
140.20,"","","",92.4042,211.4255,111.3666,105.1212,2238.2490,17.2181,1369.3169,69.2546
140.23,"","","",92.1871,211.4255,111.2292,105.1212,2241.5492,17.2181,1369.8709,76.1800
140.27,"","","",91.9891,211.2447,111.1371,105.1212,2241.6066,22.9575,1370.3211,76.1800
140.30,"","","",91.7793,211.2447,111.0299,105.1212,2241.0470,31.5666,1370.2864,76.1800
140.33,"","","",91.5840,211.2447,110.9283,104.9624,2240.3870,37.3060,1370.2172,76.1800
140.37,"","","",91.3778,211.0638,110.8410,104.9624,2241.0613,40.1757,1369.9748,69.2546
140.40,"","","",91.1535,211.0638,110.7290,104.9624,2241.5205,48.7847,1369.8017,62.3291
140.43,"","","",90.9473,210.8829,110.6163,104.9624,2239.0669,40.1757,1370.2518,62.3291
140.47,"","","",90.7213,210.8829,110.5258,105.1212,2240.9035,34.4363,1369.8709,62.3291
140.50,"","","",90.5006,210.8829,110.4218,105.1212,2239.9852,28.6969,1369.5593,55.4037
140.53,"","","",90.2944,210.8829,110.3090,105.1212,2241.3627,40.1757,1369.8017,55.4037
140.57,"","","",90.1154,210.8829,110.2090,105.1212,2240.2578,40.1757,1368.6936,48.4782
140.60,"","","",89.8983,210.8829,110.1010,105.1212,2240.6022,43.0454,1369.1091,48.4782
140.63,"","","",89.6958,210.7021,110.0057,104.8036,2241.4918,45.9151,1367.3085,41.5528
140.67,"Pi-9mM","Right","",89.4824,210.7021,109.8977,104.8036,2242.4531,40.1757,1362.8762,13.8509
140.70,"","","",89.2852,210.5212,109.9613,104.1685,2243.6871,45.9151,1363.6034,-13.8509
140.73,"","","",89.0962,210.3404,110.1740,102.4217,2240.6022,43.0454,1365.4040,-27.7018
140.77,"","","",88.8828,210.1595,110.2249,100.0398,2240.7313,40.1757,1363.2225,-48.4782
140.80,"","","",88.6703,209.9786,110.1875,97.4992,2241.9796,40.1757,1364.4344,-69.2546
140.83,"","","",88.4659,209.7978,110.0954,95.2760,2243.5436,45.9151,1364.7114,-83.1055
140.87,"","","",88.2552,209.6169,110.0073,93.2117,2242.6971,54.5241,1365.0923,-96.9564
140.90,"","","",88.0436,209.4361,109.9097,91.1474,2242.0083,51.6544,1367.8971,-103.8819
140.93,"","","",87.8420,209.2552,109.7818,89.2419,2241.5205,48.7847,1368.7975,-110.8073
140.97,"","","",87.6249,209.2552,109.7143,87.3364,2242.0657,43.0454,1368.6243,-110.8073
141.00,"","","",87.4278,208.8935,109.6310,85.7484,2241.0040,43.0454,1370.4596,-96.9564
141.03,"","","",87.2261,208.7126,109.5230,84.1605,2242.7975,54.5241,1370.0440,-90.0310
141.07,"","","",86.9964,208.5318,109.4031,82.7314,2243.1706,54.5241,1371.2906,-76.1800
141.10,"","","",86.7577,208.5318,109.2927,81.4610,2242.7545,60.2635,1371.5676,-62.3291
141.13,"","","",86.5651,208.5318,109.2427,80.1907,2242.4818,54.5241,1372.2602,-48.4782
141.17,"","","",86.3761,208.3509,109.1490,78.9203,2241.7788,57.3938,1372.7103,-27.7018
141.20,"","","",86.1871,208.1700,109.0252,77.9676,2241.5061,57.3938,1373.2990,-13.8509
141.23,"","","",85.9692,207.9892,108.9267,77.1736,2240.9896,54.5241,1373.8877,13.8509
141.27,"","","",85.7467,207.9892,108.8346,76.3796,2243.5006,57.3938,1374.2339,34.6273
141.30,"","","",85.5478,208.1700,108.7076,75.7445,2243.6154,68.8726,1373.5414,55.4037
141.33,"","","",85.3334,208.1700,108.5853,75.2681,2241.9366,66.0029,1374.0954,76.1800
141.37,"","","",85.1254,208.1700,108.5242,74.7917,2244.3615,77.4817,1372.4680,90.0310
141.40,"","","",84.9184,208.1700,108.4591,74.4741,2244.8780,86.0907,1373.7838,103.8819
