"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
82.33,"","","",186.9497,9.4047,185.8534,11.9095,4352.9531,-212.3571,1721.8920,-394.7512
82.37,"","","",186.9334,9.4047,185.8661,12.0683,4354.1584,-180.7905,1723.1039,-387.8257
82.40,"","","",186.9506,9.2239,185.8955,11.9095,4356.0524,-154.9633,1721.5803,-380.9002
82.43,"","","",186.9579,9.0430,185.9090,12.0683,4355.8085,-134.8755,1722.7577,-380.9002
82.47,"","","",186.9316,8.8621,185.8820,12.3859,4354.9045,-134.8755,1720.6800,-387.8257
82.50,"","","",186.9099,9.0430,185.8518,12.5447,4355.5502,-140.6149,1722.0651,-380.9002
82.53,"","","",186.9126,8.8621,185.8137,12.7035,4358.7355,-117.6573,1720.9224,-387.8257
82.57,"","","",186.9072,8.6813,185.8081,12.8623,4352.2644,-132.0058,1720.8532,-380.9002
82.60,"","","",186.8936,8.5004,185.8073,13.0211,4354.2014,-143.4846,1722.4460,-367.0493
82.63,"","","",186.8955,8.3196,185.7970,12.8623,4352.0348,-137.7452,1719.3988,-367.0493
82.67,"","","",186.9090,8.3196,185.7891,12.8623,4353.1827,-134.8755,1720.6800,-360.1239
82.70,"","","",186.8837,8.3196,185.7494,13.0211,4354.1297,-140.6149,1720.5761,-353.1984
82.73,"","","",186.8584,8.1387,185.7033,13.1799,4354.1010,-137.7452,1720.4376,-346.2729
82.77,"","","",186.8511,8.3196,185.7176,13.1799,4354.5171,-126.2664,1720.7493,-346.2729
82.80,"","","",186.8756,8.3196,185.7629,12.8623,4351.6331,-129.1361,1718.9487,-339.3475
82.83,"","","",186.8828,8.1387,185.7327,12.7035,4353.7423,-132.0058,1718.3600,-339.3475
82.87,"","","",186.8656,8.1387,185.6978,12.7035,4353.0249,-126.2664,1717.0095,-346.2729
82.90,"","","",186.8240,8.1387,185.6930,12.5447,4348.9786,-134.8755,1718.7755,-346.2729
82.93,"","","",186.7887,8.3196,185.6660,12.3859,4349.6243,-146.3542,1717.8752,-346.2729
82.97,"","","",186.7969,8.5004,185.6081,12.3859,4354.5745,-143.4846,1717.3212,-339.3475
83.00,"","","",186.7897,8.5004,185.5946,12.3859,4349.5669,-152.0936,1717.5982,-332.4220
83.03,"","","",186.7897,8.6813,185.5993,12.3859,4355.1054,-152.0936,1716.6286,-325.4966
83.07,"","","",186.7915,8.6813,185.5501,12.7035,4352.4366,-140.6149,1714.5164,-325.4966
83.10,"","","",186.7797,8.6813,185.5310,12.8623,4348.8351,-160.7027,1715.3820,-325.4966
83.13,"","","",186.8123,8.5004,185.5160,13.0211,4350.0260,-160.7027,1715.0011,-318.5711
83.17,"","","",186.8313,8.3196,185.5271,13.0211,4350.7435,-169.3118,1713.3737,-318.5711
83.20,"","","",186.8005,7.9578,185.5001,13.3386,4349.5382,-192.2693,1713.4429,-318.5711
83.23,"","","",186.7462,7.7770,185.4945,13.6562,4347.6729,-203.7481,1714.2393,-311.6456
83.27,"","","",186.7381,7.5961,185.5160,13.9738,4350.5713,-200.8784,1715.1743,-311.6456
83.30,"","","",186.7481,7.4153,185.4874,14.2914,4351.2026,-212.3571,1712.1271,-318.5711
83.33,"","","",186.7670,7.2344,185.4167,14.7678,4349.2512,-212.3571,1713.0274,-325.4966
83.37,"","","",186.7372,7.0535,185.3905,15.2442,4350.1839,-212.3571,1713.6853,-318.5711
83.40,"","","",186.7056,7.2344,185.3921,15.5618,4349.6817,-215.2268,1713.3390,-318.5711
83.43,"","","",186.7182,7.2344,185.3984,15.5618,4352.7666,-200.8784,1712.6811,-318.5711
83.47,"","","",186.7300,7.2344,185.3786,15.5618,4350.9300,-195.1390,1711.7116,-318.5711
83.50,"","","",186.7191,7.2344,185.3476,15.5618,4350.2126,-186.5299,1711.0190,-325.4966
83.53,"","","",186.6857,7.2344,185.3619,15.8793,4351.6474,-166.4421,1711.8501,-318.5711
83.57,"","","",186.6504,7.4153,185.3762,15.5618,4354.1871,-149.2239,1710.3611,-325.4966
83.60,"","","",186.6215,7.5961,185.3897,15.4030,4351.6618,-140.6149,1709.8417,-332.4220
83.63,"","","",186.6251,7.5961,185.3468,15.5618,4349.8825,-129.1361,1708.9067,-346.2729
83.67,"","","",186.6016,7.9578,185.2849,15.8793,4349.1938,-137.7452,1708.4912,-353.1984
83.70,"","","",186.5998,8.1387,185.2579,16.0381,4350.2413,-137.7452,1707.2793,-360.1239
83.73,"","","",186.5374,8.5004,185.2333,16.1969,4350.9874,-126.2664,1706.9676,-373.9748
83.77,"GMP","Left","",186.6368,8.5004,185.2103,16.1969,2612.4281,-6474.0231,1706.4482,-380.9002
83.80,"","","",186.6061,8.5004,185.2420,16.0381,120.6896,-21617.3830,1707.1407,-387.8257
83.83,"","","",186.6413,8.5004,185.2698,15.8793,89.9696,-36072.0171,1707.5909,-387.8257
83.87,"","","",186.6413,8.3196,185.2825,15.7205,79.9257,-49754.7042,1707.2446,-387.8257
83.90,"","","",186.6196,8.1387,185.2611,15.4030,74.5450,-62676.9232,1706.1712,-394.7512
83.93,"","","",186.5780,8.3196,185.1992,15.4030,72.0914,-74801.3681,1707.1407,-387.8257
83.97,"","","",186.5211,8.5004,185.1245,15.4030,71.1875,-86130.9085,1706.0673,-387.8257
84.00,"","","",186.4343,8.8621,185.0578,15.7205,69.5087,-96659.8052,1706.0673,-387.8257
84.03,"","","",186.3909,9.5856,185.0817,15.8793,73.2536,-106367.9701,1705.2709,-387.8257
84.07,"","","",186.4297,9.9473,185.1436,15.8793,71.1731,-115278.3610,1706.7598,-373.9748
84.10,"","","",186.4469,10.3090,185.1476,15.7205,68.9778,-123393.8474,1705.2016,-367.0493
84.13,"","","",186.4225,10.4899,185.1253,15.2442,63.4823,-130737.3869,1704.3706,-367.0493
84.17,"","","",186.4035,10.6707,185.0745,15.0854,64.7737,-137263.0645,1704.1628,-360.1239
84.20,"","","",186.3863,11.0325,185.0126,15.0854,65.2185,-142985.2285,1703.6780,-367.0493
84.23,"","","",186.3493,11.3942,185.0332,14.9266,61.0144,-147932.5760,1703.7126,-360.1239
84.27,"","","",186.2869,12.1176,185.0642,14.7678,56.7242,-152087.8887,1705.5479,-346.2729
84.30,"","","",186.2371,12.8411,185.0515,14.6090,56.0068,-155425.3394,1704.1974,-339.3475
84.33,"","","",186.1955,13.7454,185.0594,14.4502,53.8832,-157979.3645,1703.8165,-332.4220
84.37,"","","",186.1386,14.6497,185.0428,14.1326,54.7728,-159704.0488,1704.2667,-318.5711
84.40,"","","",186.1232,15.5540,185.0380,13.9738,50.0092,-160651.0469,1703.3317,-318.5711
84.43,"","","",186.1196,16.4583,185.0491,13.8150,44.8868,-160820.3587,1704.7515,-304.7202
84.47,"","","",186.1150,17.0009,185.0166,13.6562,49.3778,-160163.1994,1703.1240,-297.7947
